country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,RMSE_reduction_topcode,country_string
MYS,-.077174045,.019820742,-.0062196874,.022964915,.25932452,-.18281208,.029544782,.0021462943,.073441505,.00087049196,-.0017762762,-.0017762762,.017287171,.19116838,.03853238,.0043478338,.034016967,.00097870652,.00012223696,.0042235022,.0043457393,.028128002,-.0017762762,-.00075273507,-.0017314416,.00012223696,MYS
NAM,.17365596,.048039418,-.06885571,-.12833582,-.10681637,-.010515002,.022791529,.029261086,.045442693,-.0012099323,-.0046601067,-.0046601067,.02146516,.1444792,.029433098,.012900759,.029073106,.0004976503,.000037129357,.0035805723,.0036177016,.010263245,-.0046601067,-.0041551501,-.004667413,.000037129357,NAM
NER,-.14990321,.054129399,.016559774,-.46814322,.09818694,.16017969,.030700257,.082177147,.018330799,.0025442676,-.0023150349,-.0023150349,.0083214566,.36489668,.027012344,.0084826192,.05804494,.036293071,.029775644,.0072724237,.037048068,.80370301,-.0023150349,.034012061,-.0022810102,.0048840027,NER
NGA,-.12942417,.025575742,.035117093,-.1234149,-.043110713,-.11779749,.02474704,-.017451847,.03691078,.00024863551,.0050635762,.0050635762,.022546176,.22736774,.043319531,.0011576886,.047037177,.0020479772,.00035518527,.0057838974,.0061390828,.057856407,.0050635762,.0071213502,.0050733732,.00035518527,NGA
NIC,-.049029391,-.14344986,.38930678,.082268573,.29049033,-.22640038,.030259974,.032926284,.02501701,-.0013884213,-.013527241,-.013527241,.016908154,.23936494,.01562295,.0041678613,.034869667,.00054447318,.000054871522,.0044102115,.0044650827,.012289027,-.013527241,-.012798964,-.013711044,.000054871522,NIC
NLD,.33769545,.064699203,.07252159,-.04917388,.4143869,.23770741,.010772432,.010944095,.027135868,-.00071518915,.0069609499,.0069609499,.012423747,.27465627,.011484419,.0031823202,.01304878,.010773831,.0087667778,.0022643046,.011031082,.79473412,.0069609499,-.0038350578,.0069387737,.0048840027,NLD
NOR,.11813338,-.097060114,.16618358,-.054530665,.55988395,.091821738,.01130319,-.006205041,.030573873,.00056539098,.0083419764,.0083419764,.013747766,.24718176,.014276352,.028452579,.016776234,.0039740102,.002299452,.0024935871,.0047930391,.47974822,.0083419764,.0042443709,.0084655723,.002299452,NOR
NZL,.34093374,.11223001,-.12513357,.027762057,.27259383,-.070766993,.014289555,.093372494,.035389204,-.0028559379,.0012409295,.0012409295,.018372351,.22761579,.012229497,.011939586,.021465752,.0066088112,.0044093011,.0029057721,.0073150732,.6027692,.0012409295,-.005471041,.0011377704,.0044093011,NZL
OMN,.43490812,-.086175293,-.15105483,-.14139023,.36395702,-.16429853,.065879151,.023682684,.066615604,.002962138,,,.054527842,.15060188,.036128812,.012484417,,.0031002518,,,,,,,,,OMN
PAN,-.0026712725,-.15233478,.01284374,.29352209,-.0017975173,.10562833,.030332506,.11895961,.061095163,.0048942054,-.003754376,-.003754376,.028085135,.40442258,.038619488,.02696245,.035654061,-.000053782613,-.000011597483,.0049041379,.0048925402,-.002370442,-.003754376,-.0039220708,-.0035328986,-.000011597483,PAN
PER,-.11893094,-.028844515,-.20932412,.036104273,-.012013593,.12387472,.029580044,.049330894,.042041402,.0037805578,-.0087217689,-.0087217689,.014715901,.15761109,.032139461,.011241307,.041513499,.0031339852,.0011138348,.0050688917,.0061827265,.1801527,-.0087217689,-.0051554721,-.0082894573,.0011138348,PER
PHL,-.076912858,-.041872203,-.021987012,-.049039803,.10360017,-.082480989,.027370423,.049585588,.047718264,.0013039311,-.0014609084,-.0014609084,.028696172,.17525816,.024231095,.0046155439,.032339875,.0040746951,.0017604518,.0040054177,.0057658697,.30532286,-.0014609084,.0026874607,-.0013872344,.0017604518,PHL
POL,.27881783,.13441315,.26907825,.12293962,.52926159,.011369626,.0026845736,.025379259,.038584575,-.0023217518,.0083870813,.0083870813,.02014605,.085192025,.015857479,.0072664437,.035411868,.0016839006,.00034496508,.0042635258,.004608491,.07485424,.0083870813,.0066386918,.0084515698,.00034496508,POL
PRT,-.10510583,-.01737022,-.0021512308,.049624216,.50745231,.013244796,.0093205459,.024642477,.036512103,-.00030330932,-.00050438545,-.00050438545,.019495502,.18031073,.023939295,.02373256,.024781669,.0030219338,.0012226503,.0031519085,.0043745586,.27949113,-.00050438545,.0025267059,-.00051354297,.0012226503,PRT
QAT,.31972259,-.013972128,.17697574,.12011452,.4094803,.23498081,.077334672,.060119875,.084482417,.00028460749,-.031294487,-.031294487,.058177646,.076745279,.064221784,.010020847,.06169286,.0012939043,.00012427916,.0073882658,.0075125452,.016542884,-.031294487,-.029933015,-.031362057,.00012427916,QAT
ROU,.21945634,-.18108626,-.29833409,.15976685,.16250394,-.060133502,-.0034545197,-.030076182,.045949787,-.0010329532,.006699027,.006699027,.019686336,.17970063,.037375335,.0058574039,.045545448,.0034807706,.0010546991,.0055495915,.0066042906,.15969907,.006699027,.0031155043,.0065962751,.0010546991,ROU
RWA,.042586487,-.36839086,-.044472314,.21274498,.31759384,-.12765923,.023273887,.20469168,.076077111,.0035285482,.0042796554,.0042796554,.02590232,.58718276,.044426724,.031726129,.11424754,.0056688879,.0012014336,.014102535,.015303969,.078504711,.0042796554,.010270293,.0046014045,.0012014336,RWA
SAU,.053074867,-.25790596,-.26363587,.31933138,.42366356,-.25145379,.050290782,.068153612,.064584404,.0015431619,-.041348897,-.041348897,.048583332,.087080829,.054729104,.006132639,.086231858,.0022624552,.00027873396,.010321039,.010599772,.026296221,-.041348897,-.038927071,-.041189529,.00027873396,SAU
SDN,-.075282931,.35380065,.056692138,.075144105,-.12960762,.055634644,.030177029,.18633652,.050076406,-.0050623976,.0036378277,.0036378277,.010877664,.41211098,.035039,.036964748,.049566511,.0061041322,.0029858681,.0064662485,.0094521167,.31589413,.0036378277,.010547638,.0028321496,.0029858681,SDN
SEN,.18778639,.088336095,-.090647943,-.056297604,-.25054416,-.04242431,.03702347,.094962463,.028139642,-.00083674054,-.0029559031,-.0029559031,.013261831,.20971988,.020060576,.0078982078,.038425367,.002319105,.00056666858,.0047611692,.0053278375,.10635996,-.0029559031,-.00056647015,-.0028855752,.00056666858,SEN
SLE,.26289457,.0077859536,.41149232,-.050918441,-.088276379,.038135126,.019295286,.084495917,.023463292,.0021386952,-.007500981,-.007500981,.015300549,.48622796,.05043526,.011158915,.095090069,.0017458217,.00015821507,.011732639,.011890855,.01330561,-.007500981,-.0055597685,-.0076963715,.00015821507,SLE
