country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,RMSE_reduction_topcode,country_string
IRL,.030119402,.074658751,.12793167,.20073198,.49029452,.10806009,.014936489,-.015173345,.049828462,.00091542682,.015258901,.015258901,.026326086,.16239758,.02825895,.0067415414,.036154244,.0004727722,.000032758773,.0044293604,.0044621192,.0073415278,.015258901,.014722357,.015322672,.000032758773,IRL
IRN,.3193959,-.00050377467,.07202509,-.013719599,.1244892,-.038226824,.024879254,.031338781,.043177612,-.0030702681,-.021445567,-.021445567,.022055442,.14526753,.041257136,.019000281,.077956326,.00046749634,.000023446806,.0093605667,.0093840137,.0024985904,-.021445567,-.02213569,-.021668192,.000023446806,IRN
IRQ,-.29020101,-.22946009,.21052185,.11872128,-.00051410706,.12379004,.028106133,.090667486,.05042062,-.000045613917,-.0099020004,-.0099020004,.012160777,.22712588,.065361671,.013156157,.23208861,.0033829354,.00023563227,.027774278,.02800991,.0084124608,-.0099020004,-.0062614344,-.010159631,.00023563227,IRQ
ISR,-.4701454,-.23987392,.070482939,-.087793075,.57523882,.028020095,.027619781,.085101284,.041821994,.00096577173,.0057055317,.0057055317,.014994755,.29331794,.019905327,.012806965,.020382039,.015954835,.013473349,.0030122155,.016485564,.8172816,.0057055317,.021917408,.0059625725,.0048840027,ISR
ITA,.0091523398,-.0024565693,-.37196335,.13681394,.22076395,.10292533,.0050947182,-.033994399,.027910754,-.0011362223,-.0010487557,-.0010487557,.010917877,.16201086,.02037397,.0095462454,.015620633,.0019957791,.00081055501,.0021032337,.0029137887,.27817908,-.0010487557,-.0030646911,-.001068912,.00081055501,ITA
JAM,.27206409,-.16590986,.11821978,.19291729,.063939296,-.10552823,.014415216,.00085385243,.011555598,-.00082083774,-.0064536552,-.0064536552,.022489533,.11636763,.01707254,.0023296396,.029443238,.001634795,.00037775174,.0035876348,.0039653867,.095262274,-.0064536552,-.0081446134,-.0065098186,.00037775174,JAM
JOR,-.037416171,-.099424347,.055737235,.051011872,-.14529802,.069470875,.039842457,.026967494,.063408539,-.0013044173,-.015985543,-.015985543,.023849795,.13256067,.035289742,.013348996,.049401388,.0009329801,.000091586269,.0059588398,.0060504265,.01513716,-.015985543,-.014926282,-.016111823,.000091586269,JOR
JPN,-.2345573,-.13621664,.078363694,-.21143642,.37191746,.087587789,.0049084839,-.028332883,.039285868,-.0019787294,.0049875933,.0049875933,.0080514858,.074705154,.033600844,.015981881,.013256689,.00028957395,.000045122928,.0016505579,.0016956808,.02661051,.0049875933,.0045777848,.0048673591,.000045122928,JPN
KAZ,-.079167694,-.18856148,.0061782347,.010777105,.40092444,.16161823,.0053355284,.01551549,.023525573,.00031286009,.025369707,.025369707,.029730499,.35915846,.024885379,.0031883398,.038621854,.0022974312,.00050117407,.005090835,.0055920091,.089623258,.025369707,.027686907,.025389476,.00050117407,KAZ
KEN,-.23622409,-.025383973,-.30373758,-.2206911,-.13494956,-.0042162184,.034352295,.1398903,.041734491,-.00029866252,-.0018888229,-.0018888229,.011131894,.56534111,.019913636,.0039607803,.021547738,.045448251,.041619916,.0042544124,.045874327,.9072594,-.0018888229,.043788414,-.0016598387,.0048840027,KEN
KGZ,-.18467049,.15400682,-.013295139,-.17606053,-.092800818,-.27966607,.014716029,.060132243,.019186627,-.000043718253,.01441655,.01441655,.023985885,.32180372,.030168006,.0019247159,.036911096,.0069957627,.0036857694,.0048126732,.0084984433,.4336994,.01441655,.021420466,.014408397,.0036857694,KGZ
KOR,.15169109,.26492244,.37000489,-.039053578,.46960583,.4411172,.020830626,-.026452044,.079812028,-.0023195895,.016537517,.016537517,.01932906,.20792794,.037505537,.003695203,.022551324,.0045900508,.0025787563,.0029695926,.0055483491,.46477905,.016537517,.011851378,.016441429,.0025787563,KOR
KWT,-.15257208,.12789491,.015013313,-.27505842,.51085526,-.095797688,.047110338,.051950075,.070282981,.00050028751,-.048606414,-.048606414,.040519636,.12950267,.058172487,.0053662751,.17548992,.0047492157,.00053207629,.02098933,.021521408,.024723116,-.048606414,-.043851249,-.048612367,.00053207629,KWT
LAO,-.33359775,.12997256,-.073234029,.19506398,-.3339273,.070381224,.022971634,.2270215,.081964001,.0031323023,.0023837721,.0023837721,.0067333821,.39664978,.033017687,.0063013001,.036733706,.019904504,.015737906,.0049942983,.020732205,.75910431,.0023837721,.022506,.0026014978,.0048840027,LAO
LKA,.13624267,.19761093,.16859275,.032539755,-.10764086,.14155358,.015690399,.014298152,.056533176,.0017881055,.0033644319,.0033644319,.024414329,.14811617,.019440521,.011136302,.019390352,.0025227552,.001086633,.0024811339,.0035677669,.30456951,.0033644319,.0008058172,.0034002913,.001086633,LKA
LTU,-.18535781,-.4550111,.092876986,-.15330191,.31019518,-.080844864,-.007316499,.0013480268,.028425612,-.0010311732,.023221919,.023221919,.028062658,.22753854,.016582085,.012744994,.033453409,.002655508,.00079448917,.0042239502,.0050184391,.158314,.023221919,.025948921,.023293413,.00079448917,LTU
LUX,.26560917,.24816529,.36408669,.60337728,.38626823,.19831392,.024076728,-.039706126,.028984919,.00038939246,.005276545,.005276545,.01460305,.087634377,.011976678,.0011130172,.028708253,.0066337562,.0040222304,.0034710367,.0074932673,.53677928,.005276545,-.0013641804,.005283514,.0040222304,LUX
MAR,-.041187722,-.088473044,.042384278,-.17926043,.37164277,.050228957,.024463408,.0028286821,.049813002,-.0003413675,-.0010329853,-.0010329853,.025234506,.16259015,.023502775,.0037449133,.040533736,.0010968759,.0001235411,.0049412143,.0050647552,.024392314,-.0010329853,.00008046443,-.0010495591,.0001235411,MAR
MEX,.19613409,.29203856,.50004852,.12400746,.72867608,.33598873,.031026212,.013537086,.038213354,-.001438633,-.0077800979,-.0077800979,.014664698,.058270596,.020339223,.0028749469,.024415085,.00031401619,.000036507932,.0029444587,.0029809666,.012247011,-.0077800979,-.008275521,-.0079615042,.000036507932,MEX
MKD,.13619526,-.36919978,-.10220822,.071679883,.47931021,.049625978,-.0038053687,.01097331,.019820789,.00042239006,,,.046602014,.10736352,.014549966,.017050782,,.00038983161,,,,,,,,,MKD
MNG,-.076956883,.050079495,-.26794627,-.095729671,.033597011,.039788928,.023369854,.12670022,.041930631,-.00021812027,.0080875382,.0080875382,.019170608,.21477501,.031905241,.0085463095,.043548509,.0086063407,.0048755701,.0053621959,.010237765,.47623378,.0080875382,.016808935,.0082025947,.0048755701,MNG
MOZ,.1828007,.012567739,-.27161181,-.031815279,.21478488,-.19677138,.028523689,.099726684,.058278114,.0076072742,-.0013079266,-.0013079266,.010329383,.39893898,.043158624,.025350846,.050984044,.0037341001,.001575726,.0066664559,.0082421815,.19117826,-.0013079266,.0037004286,-.000033671622,.001575726,MOZ
MRT,.008184595,.10565553,-.11098472,.049825273,-.010191392,-.30916166,.027611831,.017180281,.025715496,-.00085949432,-.0048833992,-.0048833992,.014162547,.15241592,.022969166,.0012994573,.045884889,-.000014472051,8.3527276e-08,.0055594938,.0055595771,.000015024034,-.0048833992,-.0048689982,-.0049122726,8.3527276e-08,MRT
