country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
BFA,-.29452941,-.13747884,.073359244,-.7488333,-.03220728,.38405895,.027433222,.25932109,.084347546,-.0025319674,-.0067903753,-.0067903753,.017043192,.36245903,.012315205,.0073338556,.014698399,.072223544,.068849087,.0048529427,.07370203,.93415457,-.0067903753,.066764213,-.0081214197,.073554583,-.0013310446,.000021711661,.000021779373,.024911284,BFA
BGR,-.29882762,.61430728,-.10694887,.031101529,-.47129089,-.22969107,-.0035188957,.00095693633,.031797338,-.00097595021,.0022937299,.0022937299,.029315796,.057115857,.0079599479,.0040740985,.018239535,.0043380265,.0020570296,.0036929459,.0057499753,.3577458,.0022937299,.006698105,.0023600787,.0044043753,.000066348788,.000013663697,.000013633448,.0020570296,BGR
BHR,.4281123,-.033771295,.69968355,-.28874931,-.27049303,.31184223,.029890824,.068805404,.054583754,-.0013557456,-.014334301,-.014334301,.039504629,.18330191,.0074736914,.0073334556,.010705487,.020521637,.019141873,.0033294766,.022471352,.8518346,-.014334301,-.036628269,-.016106632,-.022293968,-.0017723311,7.9405554e-06,7.9442570e-06,.019141873,BHR
BIH,-.033850528,-.56439263,-.16693844,-.25306949,.48099703,-.034367658,.0049260613,.018247902,.035363428,.006028777,,,.024587557,.068594389,.0062159928,.057027925,,.00049863156,,,,,,,,-.0016627365,-.001164105,,,,BIH
BLR,.14270568,.019318068,.57796335,.082550526,.61534309,.46420002,-.0037281297,-.071792573,.039756257,-.0022086338,,,.0089570191,.48125386,.024668571,.0015981341,,.0094092367,,,,,,,,-.0095279375,-.00011870116,,,,BLR
BOL,.15603995,.1134007,-.069044322,.62882155,.42815819,-.022959417,.021723509,.026694965,.054941524,-.00048080899,.00067551411,.00067551411,.0092106909,.074946366,.0094142184,.0047355397,.009885014,.001676537,.00060711277,.0021145719,.0027216845,.22306508,.00067551411,-.001035345,.00070983625,-.0017108591,.000034322147,4.4805279e-06,4.4702360e-06,.00060711277,BOL
BRA,.1691335,-.34509739,.014738493,.27982855,.67829716,-.12356419,.011535558,.037912261,.021853583,.0011132847,-.015556099,-.015556099,.015957737,.10581631,.016195461,.016894981,.018478261,.00093800377,.00016812736,.0038548999,.0040230271,.041791257,-.015556099,-.014330521,-.015268525,.0012255776,.00028757381,.000014682708,.000014777554,.00016812736,BRA
BWA,-.075964175,-.11085469,.27252313,-.29079187,.17103483,-.40130851,.023687245,-.031694535,.067493878,-.0026720709,-.023192227,-.023192227,.017992025,.28490874,.012984716,.0010424206,.047686629,.0057185879,.0015412576,.0099538378,.011495096,.13407959,-.023192227,-.01744194,-.023223927,.0057502883,-.000031699965,.000099071403,.000099077879,.0015412576,BWA
CAF,.38784164,.16232942,.45742741,.46084175,.62897456,.34306839,.0087237898,.15682647,.010417319,-.00064840098,-.019259304,-.019259304,.0079942858,.30395848,.014893071,.0028265647,.13803168,-.000040080773,3.9678739e-07,.027773358,.027773755,.000014286415,-.019259304,-.019196363,-.019362325,.000062940635,-.0001030214,.00077137753,.00077134883,3.9678739e-07,CAF
CAN,.84502512,.17479271,.30972376,.55161279,.29573482,.27488065,.010158583,.029356562,.022768166,.0014630501,.0028636402,.0028636402,.0099559072,.037319418,.0048069078,.016147245,.010051046,.0039836396,.0036033455,.0033736662,.0069770119,.5164597,.0028636402,-.0038035435,.00018009612,-.0066671837,-.0026835441,4.2273541e-06,4.1802145e-06,.0036033455,CAN
CHE,-.026755784,-.51366192,-.13859215,.18675448,.14202216,.33122835,.01275379,.14606982,.01596595,.0027315074,.0047931322,.0047931322,.0069507291,.2135592,.0036382035,.033268586,.014970191,.0027005759,.0015327184,.0039499034,.005482622,.27955937,.0047931322,.0089347912,.0033520488,.004141659,-.0014410834,.000012905803,.000013525017,.0015327184,CHE
CHL,.39017639,.085922256,-.45347145,.29834604,.810669,-.42868584,.016961325,.0089586321,.05097026,.0057038558,-.0069582132,-.0069582132,.010126968,.029813053,.016009534,.018664589,.015826043,-.0013905171,-.00035353951,.0035446445,.0031911051,-.11078905,-.0069582132,-.0071352031,-.0053907065,-.00017698976,.0015675069,.000010151826,.000010107427,-.00035353951,CHL
CHN,.58775926,-.26020601,.38554776,.39667007,.87167192,.38041863,.0028144664,.016632529,.10271753,.00064041396,-.00047882841,-.00047882841,.0019630734,.048074961,.017886724,.0014827936,.019938208,.01114728,.0081379125,.0040308535,.012168766,.66875416,-.00047882841,-.011965776,-.00081849529,-.011486947,-.00033966685,.000016128915,.000016132406,.0081379125,CHN
CIV,.62420195,-.0035743492,.6003322,.23429561,.64399904,.22531356,.024426319,.015145204,.07619682,.0012755286,.024393518,.024393518,.011387744,.085430555,.040288605,.0038729417,.039865892,.0031474205,.00065446063,.0080204494,.0086749103,.075442933,.024393518,.021084229,.024231648,-.003309289,-.00016186858,.00006430268,.000064301414,.00065446063,CIV
CMR,-.13011955,.37881559,.29515365,-.33809301,-.22546807,-.65039778,.02591042,.051518086,.043490253,.0018589551,.0061703916,.0061703916,.012563221,.2791273,.0046164561,.0062098377,.013223477,.042695493,.040171165,.0040915934,.044262759,.90756124,.0061703916,.05026428,.0075687906,.044093888,.0013983991,.000014920797,.000014785618,.024911284,CMR
