country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
BEN,-.51885891,-.047575276,.068074033,.011401286,-.20748281,.46345574,.030509481,-.066113368,.027585026,.010782526,.010450966,.010450966,.0017204678,.33628914,.0099863838,.015020749,.010565193,.045518704,.043869503,.0052629658,.04913247,.89288211,.010450966,.059422906,.0069977297,.04897194,-.0034532363,.00001574847,.000015773971,.030518254,BEN
BFA,.071712233,-.038947739,-.40491837,-.48575482,.017247543,.07587982,.0073498031,.15888725,.049396284,.0068149199,.030225487,.030225487,.0093300985,.53694904,.015336883,.015468216,.022424368,.011215215,.0066188257,.0070129759,.013631802,.48554298,.030225487,.041926824,.03071161,.011701336,.00048612192,.000048904749,.00004894552,.0066188257,BFA
BGR,-.27538937,.033048507,.1869266,.2142722,.40546155,.015012719,.0081562353,-.012479558,.068948917,-.0063410401,-.013811177,-.013811177,.026590236,.090956733,.041776557,.011797246,.061426457,.0015265235,.00012869251,.012321965,.012450657,.010336203,-.013811177,-.012010577,-.014085253,.0018005995,-.00027407604,.00015177671,.0001517557,.00012869251,BGR
BHR,.066423357,-.010457135,.17112114,-.29291615,.46063372,-.38710693,.075749859,.021144565,.048483517,-.0024948257,-.0049085962,-.0049085962,.036669225,.032187499,.02926988,.02058932,.017159775,.0014171987,.00038353319,.0034571434,.0038406767,.09986084,-.0049085962,-.003226968,-.0051730257,.0016816282,-.00026442949,.000011922924,.000011881919,.00038353319,BHR
BIH,.22075483,-.14279389,.44626793,-.183378,.80244166,.1789595,.095754877,.10723414,.10658692,.0022892768,,,.23515213,.24713862,.044092316,.032949071,,.016734641,,,,,,,,-.018858507,.0021238674,,,,BIH
BLR,.24061452,-.13855194,.62448949,.033212971,.78623694,.60910368,.0022966678,-.0075262603,.028075252,-.0012907753,,,.011152776,.018964864,.030991606,.0022318885,,.00075556431,,,,,,,,-.00088368868,-.00012812437,,,,BLR
BOL,-.23610982,-.42604518,.4191516,.30071801,-.1714644,.23330671,.019066151,.047385499,.02937625,.0002070482,.0078061759,.0078061759,.016746799,.089774683,.022065554,.0029877506,.016411891,.0019102169,.0005415437,.0034041901,.0039457339,.13724792,.0078061759,.0098088793,.007713689,.0020027035,-.000092486676,.000011557994,.000011579957,.0005415437,BOL
BRA,.066547602,.28362802,.15414703,-.13242732,-.58856457,-.077937119,.021068353,.080077745,.02665763,.010259871,-.0023034008,-.0023034008,.020896941,.12536515,.0098327491,.018306227,.01741006,.0054371851,.0029510614,.0037016033,.0066526649,.44359088,-.0023034008,.0032100556,-.0022271296,.0055134567,.000076271237,.000013859745,.000013696051,.0029510614,BRA
BWA,.0026792311,-.32953757,.550574,-.083683692,.74346346,.17213158,.028477611,.047453221,.063183494,-.0020015836,-.0064545264,-.0064545264,.033110589,.18856606,.0089523727,.0015728734,.031589802,.0054802652,.0020540906,.0065944167,.0086485073,.23750812,-.0064545264,-.012053065,-.0063362531,-.0055985386,.00011827338,.000043453041,.000043472341,.0020540906,BWA
CAN,.20550351,-.27130055,.19888858,.05048316,.27439016,-.075839788,.018877927,.017761303,.037389483,.0048672738,.0019905984,.0019905984,.0055089011,.018485336,.0053944322,.023439907,.01070313,-.00027820657,-.000012606674,.0021685562,.0021559496,-.0058473879,.0019905984,.0020059666,.0022841732,.000015368181,.00029357473,4.6478826e-06,4.6164500e-06,-.000012606674,CAN
CHL,.16105595,-.51478422,.2075972,-.0051013283,.50343692,-.21951744,.023998233,.056891672,.061677709,.0010008996,-.00015664101,-.00015664101,.011413956,.077902071,.014741363,.031566147,.016187159,.00017753264,.000057559042,.0036698959,.0037274549,.015441914,-.00015664101,.0015637131,.0013861804,.0017203541,.0015428214,.000010934303,.000011087838,.000057559042,CHL
CHN,.47607687,-.035164047,-.23570642,-.087141231,-.62265009,.0031414686,.0078631546,.050542481,.1063434,.0017035878,.012668132,.012668132,.0023363091,.041819271,.0083765825,.0027823658,.029265603,.016734617,.012529436,.0059161121,.018445548,.6792661,.012668132,-.0048191315,.013420779,-.017487263,.00075264706,.000034433862,.000034433906,.012529436,CHN
CIV,.17069492,-.34306103,-.62105328,.34081089,.69032001,-.1464451,.015734067,.15255474,.010159612,.0001112727,.0016867334,.0016867334,.012407031,.25822821,.013435742,.0038327484,.017162088,.0018543925,.00044350547,.0042987452,.0047422503,.093522154,.0016867334,.0037129875,.0018585951,.0020262541,.0001718616,.000018383234,.000018449671,.00044350547,CIV
CMR,-.39316666,.5581392,.27699244,.099212952,.24917552,-.052059721,.031216832,-.011278143,.034948815,.0013145712,.0052541196,.0052541196,.028690672,.35824046,.0102703,.0043936688,.014101836,.022509538,.018484265,.0045600175,.023044283,.80211937,.0052541196,.027838921,.0051788567,.022584802,-.000075262848,.000020965725,.000020788093,.018484265,CMR
COL,.37198287,.41146493,-.065777354,-.60102201,.21604159,.27191627,.025549907,.011641026,.027849071,.00019576916,-.0042427541,-.0042427541,.021073597,.07835687,.020214574,.013774605,.015797632,.00068607548,.00014491366,.0032675958,.0034125093,.042465426,-.0042427541,-.0032727863,-.0045266463,.00096996786,-.00028389238,.000010704382,.000010596586,.00014491366,COL
CRI,-.21228677,-.30153364,-.18500076,.032900456,.31709853,-.42176163,.030794866,.19114855,.050831411,-.0011163858,.002212161,.002212161,.00716173,.66953403,.014080439,.0054627503,.016378591,.023366213,.017516954,.0074696285,.024986582,.70105439,.002212161,.026065649,.0026994371,.023853488,.00048727618,.000055340322,.00005555791,.017516954,CRI
CZE,-.16657357,-.43187794,-.11287495,-.2241592,-.0099710459,.19140816,.0015410277,.013823422,.033018865,-.004881368,.014636237,.014636237,.014336333,.071426056,.014573222,.016158806,.025461905,.0012021364,.000212386,.0051547452,.005367131,.039571606,.014636237,.01619738,.014277231,.0015611422,-.00035900585,.000026368931,.000026442513,.000212386,CZE
DEU,.36813113,.0084961373,.6009286,-.16986033,.6071614,.26031303,.0049805823,-.0058858809,.019030821,-.001270065,.0059520467,.0059520467,.0096083572,.033888068,.0069065033,.0077338084,.0067911064,.0030628021,.0021348726,.001413645,.0035485176,.60162377,.0059520467,.0026923006,.0061489907,-.0032597461,.00019694406,1.9660317e-06,1.9596052e-06,.0021348726,DEU
DNK,.29199663,-.32278073,.0072521116,-.22513473,.55939472,-.4400489,.0093457606,.032768469,.029067552,-.00074141298,-.0001714135,-.0001714135,.009611886,.12574865,.0068653184,.0044023716,.01147527,.010153705,.0082712406,.0026567271,.010927968,.75688738,-.0001714135,-.010782999,.0002864667,-.010611585,.0004578802,6.8147451e-06,6.8485447e-06,.0082712406,DNK
DOM,-.25090533,-.16550238,.31426063,-.66942787,.25948718,.23635428,.032346647,-.064784519,.0117148,-.0018675465,.027064266,.027064266,.024429707,.18097959,.025074471,.0058347704,.032289095,.0044159726,.0014501143,.0067108222,.0081609366,.17768969,.027064266,.031717613,.02682689,.0046533477,-.00023737502,.000044947239,.000044978788,.0014501143,DOM
ECU,-.042643271,-.15387456,-.18875465,.46495599,.19916782,.1421037,.03667073,.020868875,.021818807,.0030289521,.0027763224,.0027763224,.03220395,.074907005,.01576006,.020110462,.014353349,.00003409437,8.6443828e-07,.0029703348,.0029711991,.00029093918,.0027763224,.0025971842,.0029213664,-.00017913838,.000145044,8.7959343e-06,8.8018505e-06,8.6443828e-07,ECU
EGY,.13010287,.35512125,.31889734,.083986312,.31303492,-.042763218,.027530523,-.00046785519,.069408923,.002762116,-.009639659,-.009639659,.01349519,.042857509,.01536096,.014695233,.0097752828,.00096354453,.00034673855,.0020200291,.0023667677,.146503,-.009639659,-.010876324,-.0093665384,-.0012366649,.00027312047,4.0722489e-06,4.0059226e-06,.00034673855,EGY
